2019-07-09 16:37:03,003:extractPdfData:INFO:Creating patterns for regex.
2019-07-09 16:38:40,740:extractPdfData:INFO:Creating patterns for regex.
2019-07-09 16:39:39,914:extractPdfData:INFO:Creating patterns for regex.
2019-07-09 16:39:39,914:extractPdfData:INFO:Created -> ((?<=[^\n])\n)|\x0c
2019-07-09 16:39:39,914:extractPdfData:INFO:Created -> .*[^\.](?=\.{6,})
2019-07-09 16:39:39,914:extractPdfData:INFO:Created -> (?<=\.{6})\s(?=\w)
2019-07-09 16:43:25,533:extractPdfData:INFO:Creating patterns for regex.
2019-07-09 16:43:25,534:extractPdfData:INFO:Created -> ((?<=[^\n])\n)|\x0c
2019-07-09 16:43:25,534:extractPdfData:INFO:Created -> .*[^\.](?=\.{6,})
2019-07-09 16:43:25,534:extractPdfData:INFO:Created -> (?<=\.{6})\s(?=\w)
2019-07-09 17:18:16,404:extractPdfData:INFO:Creating patterns for regex.
2019-07-09 17:18:16,404:extractPdfData:INFO:Created -> ((?<=[^\n])\n)|\x0c
2019-07-09 17:18:16,404:extractPdfData:INFO:Created -> .*[^\.](?=\.{6,})
2019-07-09 17:18:16,404:extractPdfData:INFO:Created -> -\s\d+\s-
2019-07-09 17:18:16,404:extractPdfData:INFO:Created -> - (?=\w)
2019-07-09 17:18:16,404:extractPdfData:INFO:Created ->  +| +
2019-07-09 17:18:16,404:extractPdfData:INFO:Created -> \(cid:\d*\)
2019-07-09 17:18:16,404:extractPdfData:INFO:Created -> .*CONCURSO DE CASOS CLÍNICOS.*20\d\d
2019-07-09 17:18:16,404:extractPdfData:INFO:Creating object type tuple (case_paragraphs)
2019-07-09 17:18:49,902:extractPdfData:INFO:Creating patterns for regex.
2019-07-09 17:18:49,902:extractPdfData:INFO:Created -> ((?<=[^\n])\n)|\x0c
2019-07-09 17:18:49,902:extractPdfData:INFO:Created -> .*[^\.](?=\.{6,})
2019-07-09 17:18:49,902:extractPdfData:INFO:Created -> -\s\d+\s-
2019-07-09 17:18:49,902:extractPdfData:INFO:Created -> - (?=\w)
2019-07-09 17:18:49,902:extractPdfData:INFO:Created ->  +| +
2019-07-09 17:18:49,902:extractPdfData:INFO:Created -> \(cid:\d*\)
2019-07-09 17:18:49,902:extractPdfData:INFO:Created -> .*CONCURSO DE CASOS CLÍNICOS.*20\d\d
2019-07-09 17:18:49,902:extractPdfData:INFO:Creating object type tuple (case_paragraphs)
2019-07-09 17:19:00,621:extractPdfData:INFO:Creating patterns for regex.
2019-07-09 17:19:00,622:extractPdfData:INFO:Created -> ((?<=[^\n])\n)|\x0c
2019-07-09 17:19:00,622:extractPdfData:INFO:Created -> .*[^\.](?=\.{6,})
2019-07-09 17:19:00,622:extractPdfData:INFO:Created -> -\s\d+\s-
2019-07-09 17:19:00,622:extractPdfData:INFO:Created -> - (?=\w)
2019-07-09 17:19:00,622:extractPdfData:INFO:Created ->  +| +
2019-07-09 17:19:00,622:extractPdfData:INFO:Created -> \(cid:\d*\)
2019-07-09 17:19:00,622:extractPdfData:INFO:Created -> .*CONCURSO DE CASOS CLÍNICOS.*20\d\d
2019-07-09 17:19:00,622:extractPdfData:INFO:Creating object type tuple (case_paragraphs)
2019-07-09 17:19:45,078:extractPdfData:INFO:Creating patterns for regex.
2019-07-09 17:19:45,078:extractPdfData:INFO:Created -> ((?<=[^\n])\n)|\x0c
2019-07-09 17:19:45,078:extractPdfData:INFO:Created -> .*[^\.](?=\.{6,})
2019-07-09 17:19:45,078:extractPdfData:INFO:Created -> -\s\d+\s-
